Question,Answer,branch_name,address,phone,timetable,open_time,close_time,question,answer,metadata
"what is the phone number of e-mart chinggis, express atm?",1800-1888,"e-mart chinggis, express atm","1st khoroo, 12th microdistrict, tokyo street, e-mart chinggis 2nd floor",1800-1888,mon-sun 9am-10pm,09:00,22:00,,,
can i visit baganuur branch atm on sunday?,closed,baganuur branch atm,"micro-region #1, natsagdorj str, xacbank, baganuur branch ",1800-1888,24 hour,00:00,23:59,,,
what time does dako center atm open?,07:00,dako center atm,"bayangol district, 14th khoroo, north east in the urgoo movie teatre, dako center ",1800-1888,mon-sun 24 hour,07:00,23:59,,,
can i visit nalaih branch on sunday?,closed,nalaih branch,"xacbank building, 2nd horoo, damdin street, nalaikh district
what3words: /// psychotics.martyr.canal",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
"can i visit erdenet branch, express bank атм on sunday?",closed,"erdenet branch, express bank атм","orkhon province, bayan-undur, selenge restaurant, xac bank erdenet branch ",1800-1888,24/7,00:00,23:59,,,
can i visit central branch on sunday?,closed,central branch,"chingunjav street-30, enkhtaivan avenue,  sukhbaatar disctrict
what3words: /// rejects.astounded.cobras",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
"what are the weekly opening hours of shine songolt branch, express bank?",mon-sun 9am-8pm,"shine songolt branch, express bank","3rd khoroo, shine songolt shopping center, shine songolt branch xac bank ",1800-1888,mon-sun 9am-8pm,09:00,20:00,,,
what time does norjin minii delguur atm open?,08:30,norjin minii delguur atm,"micro-region #4, district #15, peace avenue, norjin minii delguur",,mon-sun: 08:30-20:30,08:30,20:30,,,
what is the address of zam zuur supermarket  атм?,"1st khoroo, zam zuur supermarket ",zam zuur supermarket  атм,"1st khoroo, zam zuur supermarket ",1800-1888,mon-sun 8am-12pm,08:00,23:59,,,
what time does sansar branch open?,08:30,sansar branch,"cre llc building, 13th khoroolol , 3th khoroo, bayanzurkh district
what3words: /// iterative.pave.clarifies",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what time does car complex атм close?,20:00,car complex атм,"5 khoroo, 5 shar car complex",1800-1888,mon-sun 9am-8pm,09:00,20:00,,,
what time does hentii branch close?,16:30,hentii branch,"xacbank building, baatar gudamj, 3rd bag, chinggis hot
what3words: /// flies.market.argue",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
"can i visit grand plaza, express atm  on sunday?",closed,"grand plaza, express atm ","2nd khoroo, grand plaza",1800-1888,mon-sun 10am-21pm,10:00,21:00,,,
what are the weekly opening hours of first maternity hospital atm?,mon-sun: 24 hours,first maternity hospital atm,"1st khoroo, first maternity hospital",1800-1888,mon-sun: 24 hours,00:00,23:59,,,
is sayamaa market атм open on saturday?,closed,sayamaa market атм," 9th khoroo, west sonsgolon street, nisekh sayamaa market ",1800-1888,mon-sun 8am-8pm,08:00,20:00,,,
what are the opening hours of xacbank 100 ail branch atm on monday?,closed,xacbank 100 ail branch atm,"micro-region #10, tsagdaa str, xacbank 100 ail branch",1800-1888,"monday closed.
tue-sun:10:00-19:00 ",10:00,19:00,,,
what are the opening hours of e-mart sky centre atm on monday?,closed,e-mart sky centre atm,"micro-region #1, tokio str, chinggis khaan hotel, sky centre",,mon-sun 09:00-22:00,09:00,22:00,,,
"is umnugovi branch, express atm open on saturday?",closed,"umnugovi branch, express atm","umnugovi province, dalanzadgad, sambuu street, xac bank umnugovi branch",1800-1888,mon-sun 24 hour,00:00,23:59,,,
"can i visit baruun-urt dalai bulag, express atm on sunday?",closed,"baruun-urt dalai bulag, express atm","sukhbaatar province, baruun-urt, dalai bulag",1800-1888,"mon-sat 09:00-22:00
sunday 10:00-22:00",09:00,22:00,,,
what time does ikh ord lobby crm open?,00:00,ikh ord lobby crm,"14th khoroo, namyanju street, ikh ord shopping center, xacbank ikh ord branch",1800-1888,mon-sun 24 hours,00:00,23:59,,,
"what time does xacbank ard branch tsetseg tuv, express bank atm close on weekdays?",20:00,"xacbank ard branch tsetseg tuv, express bank atm","1st khoroo, baga toiruu street, chingeltei district, xacbank ard branch",1800-1888,mon-sun 8-20 hour,08:00,20:00,,,
can i visit nisdeg mashin auto market on sunday?,closed,nisdeg mashin auto market,"5th khoroo, ikh toiruu, nisdeg mashin autom market ",1800-1888,mon-sun 10am-7pm,10:00,19:00,,,
what is the address of bayanzurkh tovchoo sansar suljee market?," 22 tovchoo, sansar suljee market",bayanzurkh tovchoo sansar suljee market," 22 tovchoo, sansar suljee market",,mon-sun: 08:00-22:00,08:00,23:00,,,
what time does post office atm open?,09:00,post office atm,"ulgii sum, central post office",1800-1888,09:00 - 20:00,09:00,20:00,,,
what is the phone number of dalaikhuu atm?,1800-1888,dalaikhuu atm,"chingeltei district, 14th khoroo, khailaast, dalaikhuu market ",1800-1888,mon-sun 10am-7 pm,10:00,19:00,,,
"what are the weekly opening hours of bayanmongol branch, express atm?",mon-sun 24 hour,"bayanmongol branch, express atm","26-р хороо, хүннүгийн гудамж, элизабет хотхон, хас банк баянмонгол тооцооны төв ",1800-1888,mon-sun 24 hour,00:00,23:59,,,
what time does umnugovi branch close on weekdays?,16:30,umnugovi branch,"xacbank building, 3rd bag, dalanzadgad soum
what3words: /// telephoning.unemployment.lumpiness",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
"what time does tsogttsetsii branch, express atm close on weekdays?",23:59,"tsogttsetsii branch, express atm",crm umnugovi tsogttsetsii branch атм,1800-1888,mon-sun 24 hour,00:00,23:59,,,
what are the weekly opening hours of amgalan market express atm?,"monday closed
tue-sun  10:00-20:00",amgalan market express atm,"micro-region #10, amgalan, amgalan market",,"monday closed
tue-sun  10:00-20:00",10:00,20:00,,,
what are the weekly opening hours of nomin united store atm?,mon-sun: 10:00-21:00,nomin united store atm,"micro-region #2, chinggis avenue, nomin united store",1800-1888,mon-sun: 10:00-21:00,10:00,21:00,,,
what is the address of sukhbaatar branch lobby atm?,"7th khoroo, 11th microdistrict, erkhuu road, sukhbaatar branch xac bank",sukhbaatar branch lobby atm,"7th khoroo, 11th microdistrict, erkhuu road, sukhbaatar branch xac bank",1800-1888,mon-sun 24 hours,00:00,23:59,,,
is darkhan railway station atm open on saturday?,closed,darkhan railway station atm,"darkhan city, railway station",1800-1888,mon-sun: 08:30-22:00,07:00,23:59,,,
what time does efes supermarket atm open?,08:45,efes supermarket atm,"micro-region #6, district #13, efes supermarket, infront of wrestling palace",18001888,mon-sun: 08:45-23:45,08:45,23:45,,,
what are the weekly opening hours of xacbank 100 ail branch atm?,"monday closed.
tue-sun:10:00-19:00 ",xacbank 100 ail branch atm,"micro-region #10, tsagdaa str, xacbank 100 ail branch",1800-1888,"monday closed.
tue-sun:10:00-19:00 ",10:00,19:00,,,
is da khuree shine zoog atm open on saturday?,closed,da khuree shine zoog atm,"bayanzurkh district, 17th khoroo, sharkhad street",1800-1888,"tue-sun 10am-6 pm
monday closed",09:00,19:00,,,
what is the phone number of tolgoit gungervaa minii delguur атм?,1800-1888,tolgoit gungervaa minii delguur атм,"2th khoroo, tolgoit narangiin gol",1800-1888,mon-sun 24 hour,07:00,23:59,,,
what is the phone number of dornogovi branch?,1800-1888,dornogovi branch,"xacbank building, 2nd bag, sainshand soum
what3words: /// denies.undeniably.overland",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what is the phone number of gegee mini market atm?,1800-1888,gegee mini market atm,"denjiin 1000 white buildings, gegee mini market ",1800-1888,mon-sun 9am-10pm,09:00,22:00,,,
what is the address of anurad supermarket атм?,"bayanlkhongor province, bayankhongor, anurad supermarket ",anurad supermarket атм,"bayanlkhongor province, bayankhongor, anurad supermarket ",1800-1888,mon-sun 9am-8pm,14:05,14:05,,,
"is nomin supermarket, express atm   open on saturday?",closed,"nomin supermarket, express atm  ","11st khoroo, river street, nomin supermarket ",,mon-sun 9am-10pm,09:00,23:59,,,
"what time does bor-undur branch, express атм close on weekdays?",23:59,"bor-undur branch, express атм","khentii province, bor-undur, bor-undur branch xac bank",1800-1888,mon-sun 24 hour,00:00,23:59,,,
what are the opening hours of summit hotel атм on monday?,closed,summit hotel атм,"7th khoroo, end of 4th microdistrict, summit hotel ",1800-1888,mon-sun 8am-12pm,08:00,23:59,,,
what are the opening hours of hentii branch on monday?,8:30am - 04:30pm,hentii branch,"xacbank building, baatar gudamj, 3rd bag, chinggis hot
what3words: /// flies.market.argue",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what is the address of asait-minii delguur атм?,"22th khoroo, b. dorj street, asait shopping center, minii delguur",asait-minii delguur атм,"22th khoroo, b. dorj street, asait shopping center, minii delguur",1800-1888,"mon-sun 8am-11pm
",09:00,23:00,,,
"what time does 22 tovchoo m mart, express bank atm close?",21:59,"22 tovchoo m mart, express bank atm","32st khoroo, 22 tovchoo m mart",1800-1888,mon-sun 08-22 hour,07:00,21:59,,,
what is the phone number of khan talst shopping center атм?,1800-1888,khan talst shopping center атм,"6th khoroo, 13th microdistrict, bayanzurkh market",1800-1888,"mon-sun 9pm-19pm
thu closed",09:00,19:00,,,
what time does zuun ail branch close?,16:30,zuun ail branch,"1st floor, amo center, police street, 10th khoroo, sukhbaatar district
what3words: /// cuddling.acting.crisp",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
can i visit belkhi uugan center atm on sunday?,closed,belkhi uugan center atm,"micro-region #18, belkhi uugan tuv supermarket",,mon-sun: 08-24,08:00,23:59,,,
what are the opening hours of bosa market on monday?,closed,bosa market,"micro-region #10, bayankhoshuu, bosa market",1800-1888,mon-sun 09:00-23:00,09:00,23:00,,,
"what is the phone number of information communication center, express atm ?",1800-1888,"information communication center, express atm ","tuv province, zuunmod, information communication center",1800-1888,mon-sun 9am-9pm,09:00,21:00,,,
what is the address of songinokhairkhan 06 branch atm?,"12th khoroo, 1st microdistrict, songinokhairkhan branch xac bank",songinokhairkhan 06 branch atm,"12th khoroo, 1st microdistrict, songinokhairkhan branch xac bank",1800-1888,mon-sun 24 hour,00:00,23:59,,,
can i visit sansar supermarket express atm on sunday?,closed,sansar supermarket express atm,"micro-region #18,  district #13, manlai baatar damdinsuren str., sansar supermarket",1800-1888,mon-sun 09:00-22:00,09:00,22:00,,,
"what time does tod 2 shopping center, express atm  close on weekdays?",21:00,"tod 2 shopping center, express atm ","selenge province, mandal, tod 2 shopping center ",1800-1888,mon-sun 9am-9pm,09:00,21:00,,,
what is the address of darhan branch?,"xacbank building, 8th bag, darhan soum
what3words: /// canes.mountainous.whimpered",darhan branch,"xacbank building, 8th bag, darhan soum
what3words: /// canes.mountainous.whimpered",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what is the phone number of songinokhairkhan branch lobby crm-atm-2?,1800-1888,songinokhairkhan branch lobby crm-atm-2,"12th khoroo, 1st microdistrict, songinokhairkhan branch xac bank ",1800-1888,mon-sun 24 hours,00:00,23:59,,,
what are the weekly opening hours of unur branch express bank atm?,mon-sun: 8 am-12 pm,unur branch express bank atm,"micro-region #17, moscow avenue, unur branch",1800-1888,mon-sun: 8 am-12 pm,09:00,19:00,,,
is bayankhongor branch open on saturday?,closed,bayankhongor branch,"1st floor of building 436, 4th street, nomgon lubsandanzanjantsan avenue, 1st bag, bayankhongor soum
 what3words: /// corroding.frighten.redwoods",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what are the opening hours of ord supermarket on monday?,closed,ord supermarket,"15th khoroo, sharga morit, ord supermarket ",1800-1888,mon-sun 8am-11pm,08:00,23:00,,,
what time does guyen mini market atm close?,23:00,guyen mini market atm,"bayanzurkh district, 28 th khoroo, the gachuurt road, khujirbulan, guyen mini market ",1800-1888,mon-sun 8am-11pm,08:00,23:00,,,
"what are the weekly opening hours of central square branch, express bank атм?",mon-sun 24 hour,"central square branch, express bank атм","8th khoroo, east of sukhbaatar square, central square branch",1800-1888,mon-sun 24 hour,07:00,23:59,,,
what time does bayan burd shopping center close on weekdays?,20:00,bayan burd shopping center,"zavkhan province, uliastai, jinst, bayan burd shopping center",1800-1888,mon-sun 9am-8pm,09:00,20:00,,,
what is the phone number of bayanzurkh 05 branch lobby crm-atm-2?,1800-1888,bayanzurkh 05 branch lobby crm-atm-2,"13rd khoroo, enkhtaivan avenue, 92a-1",1800-1888,mon-sun 24 hours,00:00,23:59,,,
"what time does khishig shopping center, express atm   close on weekdays?",23:00,"khishig shopping center, express atm  ","khovd province, jargalant, alag tolgoi, khishig shopping center",1800-1888,mon-sun 8am-11pm,08:00,23:00,,,
is ulaanbaatar railway hospital atm open on saturday?,closed,ulaanbaatar railway hospital atm,"micro-region #4, peace avenue, ulaanbaatar railway hospital",,mon-sun: 08:00-20:00,08:00,20:00,,,
what is the phone number of night plaza trade center express atm?,,night plaza trade center express atm,"micro-region #14, nam yanju str, night plaza trade center",,"thursday closed,
mon-sun: 11:00-24:00",11:00,23:59,,,
what time does stars center atm close?,21:00,stars center atm,"micro-region #2, peace avenue, stars center",,mon-sun 10:00-21:00,10:00,21:00,,,
what time does general health clinic of bayanzurkh атм close?,23:59,general health clinic of bayanzurkh атм,"22nd khoroo, bayanzurkh district, general health clinic of bayanzurkh ",1800-1888,mon-sun 7am-12pm,07:00,23:59,,,
what are the weekly opening hours of star karaoke атм?,mon-sun 9am-12pm,star karaoke атм," 2nd khoroo, narangiin road, tolgoit, star karaoke ",1800-1888,mon-sun 9am-12pm,09:00,23:59,,,
what time does anar supermarket atm close on weekdays?,23:59,anar supermarket atm,"10th khoroo, wells street, sukhbaatar district,  infront of 16th school, anar supermarket",1800-1888,mon-sun 8am-12pm,08:00,23:59,,,
what are the weekly opening hours of dornogovi branch urgutgul atm?,mon-sun 24 hour,dornogovi branch urgutgul atm,"dornogovi province, 4th committee, xacbank-extention",1800-1888,mon-sun 24 hour,00:00,23:59,,,
"what time does ulaangom branch, express atm  close on weekdays?",21:00,"ulaangom branch, express atm ","uvs province, ulaangom, xac bank ulaangom branch ",1800-1888,mon-sun 9am-9pm,09:00,21:00,,,
what are the opening hours of amgalan market express atm on monday?,closed,amgalan market express atm,"micro-region #10, amgalan, amgalan market",,"monday closed
tue-sun  10:00-20:00",10:00,20:00,,,
"what is the phone number of shine songolt branch, express bank ?",1800-1888,"shine songolt branch, express bank ","shine songolt shopping center, shine songolt branch xac bank ",1800-1888,mon-sun 9am-8pm,09:00,20:00,,,
what time does tsakh shopping center атм close?,20:00,tsakh shopping center атм,"orkhon province, bayan-undur, uurkhaichin, tsakh shopping center ",1800-1888,mon-sun 10am-8pm,10:00,20:00,,,
"what time does tumbaash center, express atm  close on weekdays?",20:00,"tumbaash center, express atm ","7th khoroo, bayankhoshuu old bus station, tumbaash center",1800-1888,mon-sun 8am-8pm,08:00,20:00,,,
